Winner,B_current_lose_streak,B_current_win_streak,B_2,B_avg_SIG_STR_pct,B_losses,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_2,R_avg_SIG_STR_pct,R_losses,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
0,0,3,0,0.347142857,1,6,162.56,165.1,125,0,4,0,0.50875,2,6,160.02,167.64,125,29,27
0,0,1,0,0.428333333,1,5,175.26,177.8,135,0,3,0,0.514285714,2,5,167.64,170.18,135,22,34
0,0,3,0,0.539166667,4,8,172.72,172.72,155,0,4,0,0.604285714,1,6,167.64,167.64,145,29,28
0,2,0,0,0.490833333,7,5,172.72,177.8,155,2,0,0,0.406666667,6,9,177.8,180.34,155,33,29
1,0,2,0,0.425,0,2,185.42,187.96,170,0,2,0,0.357142857,2,5,180.34,190.5,170,30,29
1,0,2,0,0.474285714,1,6,180.34,190.5,155,0,2,0,0.51125,2,6,175.26,180.34,155,27,34
0,3,0,0,0.443333333,3,0,182.88,187.96,155,0,2,0,0.485,0,2,177.8,180.34,155,30,27
0,0,1,0,0.235,3,3,182.88,182.88,155,1,0,0,0.27625,8,8,175.26,177.8,155,25,29
0,2,0,0,0.38,2,0,175.26,172.72,155,2,0,0,0.506666667,2,1,172.72,177.8,155,31,30
2,1,0,0,0.5025,2,2,193.04,203.2,264,1,0,0,0.423333333,2,4,177.8,182.88,265,34,39
0,1,0,0,0.611428571,2,5,187.96,190.5,185,2,0,0,0.472727273,6,5,185.42,193.04,205,32,32
0,0,1,0,0.425,4,4,190.5,190.5,205,1,0,0,0.373333333,4,8,187.96,187.96,205,41,30
1,0,1,0,0.625,1,1,193.04,205.74,265,1,0,0,0.564545455,6,5,180.34,187.96,235,36,34
1,0,1,0,0.46,0,1,187.96,195.58,205,0,2,0,0.635,0,2,185.42,185.42,185,27,34
0,1,0,0,0.365,4,2,167.64,177.8,135,0,3,0,0.421428571,2,5,170.18,172.72,135,30,29
1,0,1,0,0.395,1,1,185.42,185.42,185,1,0,0,0.426,2,3,182.88,187.96,185,25,34
1,2,0,0,0.421666667,7,11,182.88,193.04,170,1,0,0,0.370769231,4,9,175.26,177.8,155,28,34
0,0,1,0,0.29,1,1,172.72,180.34,145,0,2,0,0.515,0,2,172.72,172.72,145,30,31
0,0,6,0,0.579090909,1,10,175.26,175.26,185,0,11,0,0.5655,2,18,180.34,193.04,185,30,32
0,0,1,0,0.492307692,6,7,185.42,187.96,205,0,1,0,0.372941176,4,13,182.88,190.5,205,36,34
1,0,2,0,0.452222222,3,6,180.34,187.96,170,0,5,0,0.502857143,1,6,182.88,193.04,170,31,24
1,1,0,0,0.655,1,1,175.26,187.96,170,2,0,0,0.404545455,7,15,177.8,185.42,170,31,35
1,0,1,0,0.55,0,1,162.56,165.1,125,0,2,0,0.483333333,1,2,170.18,167.64,135,28,26
0,1,0,0,0.377272727,4,7,177.8,177.8,155,1,0,0,0.473,3,7,185.42,185.42,155,31,30
1,0,1,0,0.366666667,3,6,185.42,198.12,185,0,1,0,0.532857143,6,8,185.42,195.58,205,32,33
1,1,0,0,0.416153846,5,8,175.26,180.34,170,1,0,0,0.588,1,4,182.88,185.42,170,29,32
0,2,0,0,0.448,3,2,170.18,175.26,135,1,0,0,0.625,1,3,172.72,172.72,135,29,23
1,1,0,0,0.56,1,0,190.5,193.04,205,1,0,0,0.68,1,1,190.5,187.96,205,28,32
0,2,0,0,0.484,4,6,180.34,187.96,185,0,2,0,0.497777778,6,12,182.88,187.96,185,43,36
0,0,1,0,0.63,1,1,175.26,185.42,185,0,2,0,0.485,0,2,185.42,198.12,185,31,28
0,3,0,0,0.477,6,4,182.88,193.04,205,1,0,0,0.39,1,0,185.42,185.42,205,34,33
1,0,1,0,0.65,0,1,187.96,187.96,170,0,1,0,0.338,5,5,180.34,185.42,170,28,32
1,0,1,0,0.443125,8,8,172.72,180.34,145,0,3,0,0.603333333,0,3,170.18,177.8,145,27,29
1,2,0,0,0.336666667,2,1,172.72,170.18,145,1,0,0,0.383333333,2,1,170.18,185.42,145,27,26
0,0,1,0,0.483333333,1,2,172.72,177.8,155,1,0,0,0.415384615,6,7,170.18,172.72,145,31,29
0,0,3,0,0.49375,3,5,182.88,193.04,185,0,1,0,0.58,0,1,180.34,187.96,185,30,34
1,0,1,0,0.6,0,1,167.64,172.72,125,0,1,0,0.63,1,1,167.64,167.64,125,29,29
1,0,1,0,1,0,1,182.88,185.42,185,0,3,0,0.646666667,0,3,185.42,190.5,185,36,25
1,0,2,0,0.425,0,2,172.72,185.42,155,0,2,0,0.5,0,2,180.34,187.96,170,27,28
1,1,0,0,0.383333333,1,2,185.42,190.5,170,1,0,0,0.595,1,1,182.88,180.34,155,25,26
0,0,1,0,0.51,0,1,187.96,185.42,170,0,1,0,0.6,0,1,177.8,180.34,155,27,27
1,0,1,0,0.5025,2,2,172.72,172.72,135,0,2,0,0.357777778,5,4,185.42,182.88,135,32,31
0,0,2,0,0.463333333,1,5,180.34,177.8,145,0,4,0,0.434,1,4,167.64,167.64,155,26,26
0,0,1,0,0.6,0,1,175.26,180.34,135,0,1,0,0.62,0,1,172.72,175.26,145,29,25
1,1,0,0,0.39,1,0,180.34,182.88,170,1,0,0,0.428888889,3,6,187.96,193.04,185,27,26
2,1,0,0,0.22,1,0,177.8,190.5,155,2,0,0,0.476111111,8,10,175.26,185.42,155,26,37
1,2,0,0,0.331428571,3,4,190.5,187.96,170,1,0,0,0.39,1,1,190.5,203.2,170,32,26
0,0,1,0,0.454545455,3,8,182.88,182.88,185,1,0,0,0.562,4,11,185.42,187.96,185,35,35
2,0,1,0,0.415,8,12,175.26,172.72,155,0,2,0,0.446,3,7,172.72,175.26,155,30,29
0,0,1,0,0.81,1,2,185.42,185.42,205,0,2,0,0.59,0,2,185.42,200.66,205,31,33
0,0,1,0,0.43,0,1,180.34,185.42,155,0,2,0,0.475,0,2,180.34,177.8,155,29,26
1,0,3,0,0.4025,1,3,160.02,170.18,135,0,1,0,0.195,1,1,162.56,162.56,125,23,30
0,0,1,0,0.48,0,1,175.26,180.34,155,0,1,0,0.475,1,1,177.8,177.8,155,26,26
0,0,1,0,0.5175,1,3,185.42,193.04,170,0,1,0,0.48,0,1,198.12,195.58,185,27,25
1,1,0,0,0.66,1,0,154.94,157.48,115,1,0,0,0.55,1,0,160.02,160.02,135,22,36
1,1,0,0,0.307857143,6,8,185.42,187.96,145,0,1,0,0.47,1,1,172.72,175.26,145,29,24
0,1,0,0,0.513333333,2,1,182.88,185.42,185,1,0,0,0.32,1,0,185.42,193.04,170,24,24
0,0,1,0,0.534545455,1,10,193.04,195.58,238,0,3,0,0.594545455,1,10,185.42,195.58,240,29,31
0,1,0,0,0.392,4,6,182.88,182.88,263,0,1,0,0.61,0,1,180.34,182.88,235,37,34
0,0,1,0,0.401111111,5,13,177.8,182.88,170,1,0,0,0.22,1,0,175.26,185.42,145,31,31
0,0,2,0,0.54,1,3,182.88,190.5,260,0,1,0,0.5725,6,10,187.96,193.04,242,28,34
0,0,2,0,0.44,4,7,187.96,193.04,185,2,0,0,0.510833333,5,7,182.88,187.96,185,30,32
1,1,0,0,0.45,2,1,175.26,180.34,185,1,0,0,0.53,5,10,182.88,187.96,185,35,34
1,1,0,0,0.34,1,0,177.8,182.88,155,3,0,0,0.329,3,7,177.8,180.34,155,30,36
1,0,1,0,0.38,0,1,187.96,193.04,170,0,1,0,0.62,2,4,180.34,190.5,170,26,25
0,1,0,0,0.445,1,1,177.8,180.34,155,1,0,0,0.3575,1,3,180.34,193.04,155,32,29
1,0,1,0,0.388333333,3,3,182.88,182.88,170,0,3,0,0.509375,4,12,185.42,182.88,170,34,35
1,0,2,0,0.541818182,3,8,187.96,193.04,170,0,1,0,0.504,2,3,182.88,187.96,170,31,29
0,0,1,0,0.422142857,4,10,185.42,193.04,205,0,1,0,0.551818182,5,6,187.96,187.96,205,37,30
0,4,0,0,0.388888889,6,3,185.42,190.5,185,0,1,0,0.58,3,2,185.42,190.5,205,31,33
0,0,4,0,0.461666667,3,9,172.72,177.8,170,2,0,0,0.339090909,4,7,172.72,180.34,170,33,33
0,0,4,0,0.4,1,4,167.64,170.18,125,0,4,0,0.458,1,4,165.1,167.64,135,27,31
1,2,0,0,0.458571429,3,4,160.02,160.02,125,2,0,0,0.275,2,0,165.1,167.64,125,32,33
0,0,6,0,0.345,1,7,195.58,200.66,205,0,9,0,0.569230769,1,12,193.04,213.36,205,26,26
0,0,2,0,0.275,2,2,170.18,175.26,135,0,5,0,0.368,0,5,167.64,177.8,135,29,26
0,0,1,0,0.54375,2,6,190.5,200.66,265,0,1,0,0.48125,3,5,193.04,198.12,245,35,30
1,0,5,0,0.534,0,5,190.5,198.12,205,0,5,0,0.416666667,1,5,180.34,185.42,185,31,33
1,0,4,0,0.49,0,4,177.8,177.8,155,2,0,0,0.525,2,0,182.88,187.96,155,25,30
1,0,3,0,0.3,0,3,177.8,185.42,145,0,1,0,0.47,1,1,182.88,195.58,155,24,27
1,0,1,0,0.516666667,1,2,182.88,190.5,170,1,0,0,0.525,1,1,177.8,177.8,170,30,37
0,0,1,0,0.28,0,1,170.18,180.34,135,0,1,0,0.43,1,1,165.1,165.1,135,24,28
0,0,1,0,0.365,1,1,170.18,180.34,155,0,2,0,0.398333333,2,4,172.72,172.72,155,26,28
1,1,0,0,0.54,4,3,177.8,185.42,145,0,1,0,0.505,1,3,175.26,180.34,135,25,29
0,0,1,0,0.370909091,3,8,187.96,187.96,205,0,4,0,0.515,0,4,187.96,193.04,205,30,33
1,0,1,0,0.5,0,1,185.42,182.88,185,0,3,0,0.4,4,13,187.96,190.5,170,33,32
0,0,1,0,0.31,1,1,165.1,170.18,125,0,2,0,0.341666667,1,5,162.56,165.1,125,28,29
0,0,1,0,0.54,0,1,187.96,195.58,185,0,2,0,0.475714286,3,4,182.88,193.04,185,30,30
1,1,0,0,0.14,1,0,177.8,190.5,170,1,0,0,0.42,1,0,182.88,185.42,170,26,22
1,0,3,0,0.45,1,3,177.8,182.88,170,0,7,0,0.441428571,0,7,175.26,177.8,170,26,29
1,0,3,0,0.618,1,4,190.5,198.12,250,2,0,0,0.51,7,14,190.5,200.66,264,35,34
0,0,1,0,0.334705882,7,10,170.18,177.8,155,0,3,0,0.625,1,5,167.64,167.64,145,31,28
0,1,0,0,0.565333333,7,8,190.5,193.04,230,1,0,0,0.408,3,2,193.04,198.12,265,35,31
1,1,0,0,0.451428571,2,5,175.26,182.88,155,1,0,0,0.296666667,1,2,177.8,180.34,155,24,24
